RecipeName,Ingredients,Instructions
Butter Soup,"butter, shrimp, cucumber, water, cheese","Combine butter, shrimp, cucumber, water and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Soup,"blueberries, beef, chickpeas","Combine blueberries, beef and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Pasta,"strawberries, ginger, pasta, cabbage, peppers, lamb","Combine strawberries, ginger, pasta, cabbage, peppers and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Skillet,"rosemary, shrimp, rice, pasta","Combine rosemary, shrimp, rice and pasta. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Skillet,"basil, parsley, lentils, tortilla, eggs, banana","Combine basil, parsley, lentils, tortilla, eggs and banana. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Soup,"sugar, tomato sauce, balsamic","Combine sugar, tomato sauce and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Bake,"basil, chocolate, pie crust, salmon, pasta, garlic","Combine basil, chocolate, pie crust, salmon, pasta and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Pasta,"parsley, vinegar, pumpkin, breadcrumbs, pie crust, mayonnaise","Combine parsley, vinegar, pumpkin, breadcrumbs, pie crust and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Pasta,"lentils, bun, chicken, lettuce","Combine lentils, bun, chicken and lettuce. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Casserole,"ginger, zucchini, olive oil, soy sauce, bananas","Combine ginger, zucchini, olive oil, soy sauce and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Lemons Stir-Fry,"lemons, eggs",Combine lemons and eggs. Cook until done. Adjust seasoning to taste. Serve hot.
Olive Oil Delight,"olive oil, saffron",Combine olive oil and saffron. Cook until done. Adjust seasoning to taste. Serve hot.
Peppers Frittata,"peppers, onion, beans, cocoa powder, salmon, mixed vegetables","Combine peppers, onion, beans, cocoa powder, salmon and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Tart,"vegetables, pasta, beans, cream, flour","Combine vegetables, pasta, beans, cream and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Skillet,"ginger, pasta, pumpkin","Combine ginger, pasta and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Salad,"vegetables, tortilla",Combine vegetables and tortilla. Cook until done. Adjust seasoning to taste. Serve hot.
Lemon Tart,"lemon, soy sauce, avocado","Combine lemon, soy sauce and avocado. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Bake,"breadcrumbs, cucumber, butter, peppers, cabbage","Combine breadcrumbs, cucumber, butter, peppers and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Casserole,"honey, saffron, flour, onions, potatoes","Combine honey, saffron, flour, onions and potatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Pasta,"pepper, soy sauce, celery","Combine pepper, soy sauce and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Tomatoes Skillet,"tomatoes, saffron, carrots","Combine tomatoes, saffron and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Delight,"onions, lime, rosemary, flour","Combine onions, lime, rosemary and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Casserole,"lamb, tomato sauce, tomato, zucchini","Combine lamb, tomato sauce, tomato and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Stir-Fry,"peas, salt, potatoes","Combine peas, salt and potatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Stir-Fry,"soy sauce, shrimp, mushrooms, pepper","Combine soy sauce, shrimp, mushrooms and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Salad,"dill, sugar, mussels","Combine dill, sugar and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Bake,"basil, lemons, pie crust, mushrooms, mussels","Combine basil, lemons, pie crust, mushrooms and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Skillet,"bananas, caesar dressing, rosemary, tomato sauce, lettuce","Combine bananas, caesar dressing, rosemary, tomato sauce and lettuce. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Pasta,"broth, salsa, pepper, avocado, celery","Combine broth, salsa, pepper, avocado and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Stir-Fry,"blueberries, pie crust, fish","Combine blueberries, pie crust and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Stir-Fry,"mustard, yogurt, bread, lettuce, salt, mushrooms","Combine mustard, yogurt, bread, lettuce, salt and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Soup,"shrimp, bananas, tuna, bell peppers, dill","Combine shrimp, bananas, tuna, bell peppers and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Skillet,"breadcrumbs, parsley, broth","Combine breadcrumbs, parsley and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Delight,"chickpeas, lamb, banana, basil, lentils","Combine chickpeas, lamb, banana, basil and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Milk Salad,"milk, mozzarella, parsley, celery","Combine milk, mozzarella, parsley and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Onion Frittata,"onion, strawberries, cinnamon, chickpeas, chocolate, bread","Combine onion, strawberries, cinnamon, chickpeas, chocolate and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Tuna Salad,"tuna, dill, rice, tomato, celery","Combine tuna, dill, rice, tomato and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Soup,"vinegar, eggs, pepper, avocado, peppers","Combine vinegar, eggs, pepper, avocado and peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Chicken Pasta,"chicken, blueberries, pasta, mayonnaise, tomato sauce, lamb","Combine chicken, blueberries, pasta, mayonnaise, tomato sauce and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Casserole,"pepper, lamb, coconut milk, mussels","Combine pepper, lamb, coconut milk and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Frittata,"dill, mushrooms",Combine dill and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot.
Sugar Pasta,"sugar, honey, balsamic, zucchini","Combine sugar, honey, balsamic and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Avocado Casserole,"avocado, strawberries, beans, tortilla","Combine avocado, strawberries, beans and tortilla. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Salad,"curry powder, tortilla, milk, cucumber","Combine curry powder, tortilla, milk and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Eggs Soup,"eggs, carrots, vegetables, broth, water, basil","Combine eggs, carrots, vegetables, broth, water and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Soup,"bananas, tomato, mixed vegetables, caesar dressing, breadcrumbs","Combine bananas, tomato, mixed vegetables, caesar dressing and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Tart,"onions, chocolate, coconut milk, caesar dressing","Combine onions, chocolate, coconut milk and caesar dressing. Cook until done. Adjust seasoning to taste. Serve hot."
Salsa Soup,"salsa, rosemary, flour, chickpeas","Combine salsa, rosemary, flour and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Bake,"honey, lime, butter, peppers, blueberries","Combine honey, lime, butter, peppers and blueberries. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Skillet,"mustard, spinach, mixed vegetables","Combine mustard, spinach and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Avocado Stir-Fry,"avocado, fish, salt, cabbage, pepper","Combine avocado, fish, salt, cabbage and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Skillet,"tomato, mushrooms, vinegar, mozzarella","Combine tomato, mushrooms, vinegar and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Tart,"pie crust, banana, tuna","Combine pie crust, banana and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Casserole,"tortillas, cucumber, water, bell peppers","Combine tortillas, cucumber, water and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Yogurt Delight,"yogurt, onion, butter, carrots","Combine yogurt, onion, butter and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Skillet,"lamb, rice",Combine lamb and rice. Cook until done. Adjust seasoning to taste. Serve hot.
Dill Bake,"dill, salt",Combine dill and salt. Cook until done. Adjust seasoning to taste. Serve hot.
Pepper Bake,"pepper, mozzarella, shrimp, onions, tomato sauce","Combine pepper, mozzarella, shrimp, onions and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Yogurt Soup,"yogurt, broth, pumpkin, tortillas, onion","Combine yogurt, broth, pumpkin, tortillas and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Casserole,"mozzarella, croutons",Combine mozzarella and croutons. Cook until done. Adjust seasoning to taste. Serve hot.
Dill Stir-Fry,"dill, mixed vegetables, broth, mozzarella, shrimp","Combine dill, mixed vegetables, broth, mozzarella and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Salad,"mustard, garlic",Combine mustard and garlic. Cook until done. Adjust seasoning to taste. Serve hot.
Pepper Salad,"pepper, breadcrumbs",Combine pepper and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot.
Balsamic Salad,"balsamic, beans, lettuce, eggplant, caesar dressing, strawberries","Combine balsamic, beans, lettuce, eggplant, caesar dressing and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Frittata,"soy sauce, cream",Combine soy sauce and cream. Cook until done. Adjust seasoning to taste. Serve hot.
Curry Powder Frittata,"curry powder, lettuce, celery","Combine curry powder, lettuce and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Bake,"garlic, celery",Combine garlic and celery. Cook until done. Adjust seasoning to taste. Serve hot.
Eggs Stir-Fry,"eggs, chocolate, butter, banana, caesar dressing, avocado","Combine eggs, chocolate, butter, banana, caesar dressing and avocado. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Sauce Bake,"tomato sauce, lentils, balsamic","Combine tomato sauce, lentils and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Skillet,"beans, caesar dressing, onions, salsa","Combine beans, caesar dressing, onions and salsa. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Stir-Fry,"pie crust, peas",Combine pie crust and peas. Cook until done. Adjust seasoning to taste. Serve hot.
Tomato Sauce Delight,"tomato sauce, bun, peas, rosemary, cucumber, tortillas","Combine tomato sauce, bun, peas, rosemary, cucumber and tortillas. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Pasta,"lamb, pepper, water, banana, beef, potatoes","Combine lamb, pepper, water, banana, beef and potatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Stir-Fry,"bun, pumpkin, pasta, blueberries, bread","Combine bun, pumpkin, pasta, blueberries and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Celery Tart,"celery, bell peppers, caesar dressing, garlic, tuna, tomato","Combine celery, bell peppers, caesar dressing, garlic, tuna and tomato. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Casserole,"mushrooms, tomatoes, salsa, honey","Combine mushrooms, tomatoes, salsa and honey. Cook until done. Adjust seasoning to taste. Serve hot."
Tortilla Pasta,"tortilla, parsley, broth, butter, soy sauce, croutons","Combine tortilla, parsley, broth, butter, soy sauce and croutons. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Pasta,"curry powder, onion, lime, pepper, olive oil","Combine curry powder, onion, lime, pepper and olive oil. Cook until done. Adjust seasoning to taste. Serve hot."
Lemons Stir-Fry,"lemons, parmesan",Combine lemons and parmesan. Cook until done. Adjust seasoning to taste. Serve hot.
Mozzarella Skillet,"mozzarella, cheese, pie crust, bell peppers","Combine mozzarella, cheese, pie crust and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Skillet,"breadcrumbs, parsley",Combine breadcrumbs and parsley. Cook until done. Adjust seasoning to taste. Serve hot.
Caesar Dressing Tart,"caesar dressing, spinach, beef, tomato sauce","Combine caesar dressing, spinach, beef and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Soup,"lettuce, cabbage, onion, milk, parmesan, beans","Combine lettuce, cabbage, onion, milk, parmesan and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Bake,"lemon, milk, bun, sugar, rosemary, croutons","Combine lemon, milk, bun, sugar, rosemary and croutons. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Skillet,"cucumber, bun, mayonnaise, spinach, mozzarella","Combine cucumber, bun, mayonnaise, spinach and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Frittata,"sugar, cucumber, parmesan, spinach","Combine sugar, cucumber, parmesan and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Water Bake,"water, spinach, banana, tortilla, flour, zucchini","Combine water, spinach, banana, tortilla, flour and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Bake,"lemon, lime, mayonnaise, apples","Combine lemon, lime, mayonnaise and apples. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Skillet,"strawberries, zucchini, olive oil","Combine strawberries, zucchini and olive oil. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Tart,"vinegar, banana, breadcrumbs","Combine vinegar, banana and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Stir-Fry,"mushrooms, onions, pepper","Combine mushrooms, onions and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Frittata,"mozzarella, lemon, lentils","Combine mozzarella, lemon and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Skillet,"bread, beans, cheese, chicken, tuna, yogurt","Combine bread, beans, cheese, chicken, tuna and yogurt. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Frittata,"pasta, zucchini, parmesan, pumpkin","Combine pasta, zucchini, parmesan and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Stir-Fry,"onions, flour, croutons, saffron, butter","Combine onions, flour, croutons, saffron and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Soup,"butter, ginger, tomato sauce, pumpkin, salsa","Combine butter, ginger, tomato sauce, pumpkin and salsa. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Frittata,"cucumber, mustard",Combine cucumber and mustard. Cook until done. Adjust seasoning to taste. Serve hot.
Apples Soup,"apples, cream",Combine apples and cream. Cook until done. Adjust seasoning to taste. Serve hot.
Carrots Stir-Fry,"carrots, eggs, honey","Combine carrots, eggs and honey. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Pasta,"apples, rice",Combine apples and rice. Cook until done. Adjust seasoning to taste. Serve hot.
Caesar Dressing Salad,"caesar dressing, mushrooms, salt","Combine caesar dressing, mushrooms and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Delight,"spinach, milk, blueberries, mustard, basil, parsley","Combine spinach, milk, blueberries, mustard, basil and parsley. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Pasta,"blueberries, lemons, sugar, parmesan, olive oil","Combine blueberries, lemons, sugar, parmesan and olive oil. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Bake,"butter, olive oil, balsamic, lentils","Combine butter, olive oil, balsamic and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Pasta,"pepper, mixed vegetables, breadcrumbs, parsley, bun, eggplant","Combine pepper, mixed vegetables, breadcrumbs, parsley, bun and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Salad,"olive oil, salsa, bread, mustard, lemon, lime","Combine olive oil, salsa, bread, mustard, lemon and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Skillet,"chickpeas, blueberries, saffron, vinegar","Combine chickpeas, blueberries, saffron and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Saffron Skillet,"saffron, cocoa powder, mayonnaise, water, celery, dill","Combine saffron, cocoa powder, mayonnaise, water, celery and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Eggs Frittata,"eggs, coconut milk, chocolate","Combine eggs, coconut milk and chocolate. Cook until done. Adjust seasoning to taste. Serve hot."
Yogurt Casserole,"yogurt, blueberries, chocolate","Combine yogurt, blueberries and chocolate. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Frittata,"strawberries, tomato, peas, water, vinegar","Combine strawberries, tomato, peas, water and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Skillet,"vegetables, lemons, cheese, pasta","Combine vegetables, lemons, cheese and pasta. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Delight,"pasta, vegetables, lamb, garlic, tomato sauce","Combine pasta, vegetables, lamb, garlic and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Casserole,"rosemary, blueberries, lemon, peppers","Combine rosemary, blueberries, lemon and peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Soup,"beef, mozzarella",Combine beef and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot.
Water Frittata,"water, breadcrumbs",Combine water and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot.
Rosemary Casserole,"rosemary, mussels, peppers, tomato, soy sauce, basil","Combine rosemary, mussels, peppers, tomato, soy sauce and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Yogurt Bake,"yogurt, cocoa powder, lentils, tortilla, pie crust, rosemary","Combine yogurt, cocoa powder, lentils, tortilla, pie crust and rosemary. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Stir-Fry,"peas, bun",Combine peas and bun. Cook until done. Adjust seasoning to taste. Serve hot.
Rosemary Bake,"rosemary, water",Combine rosemary and water. Cook until done. Adjust seasoning to taste. Serve hot.
Eggplant Casserole,"eggplant, pasta",Combine eggplant and pasta. Cook until done. Adjust seasoning to taste. Serve hot.
Salmon Pasta,"salmon, tortillas, chicken, mixed vegetables, mozzarella, ginger","Combine salmon, tortillas, chicken, mixed vegetables, mozzarella and ginger. Cook until done. Adjust seasoning to taste. Serve hot."
Lime Stir-Fry,"lime, tomatoes, beans, vegetables, water","Combine lime, tomatoes, beans, vegetables and water. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Tart,"lettuce, broth",Combine lettuce and broth. Cook until done. Adjust seasoning to taste. Serve hot.
Ginger Stir-Fry,"ginger, eggs, zucchini, tortilla, cheese","Combine ginger, eggs, zucchini, tortilla and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Bake,"tomato, zucchini",Combine tomato and zucchini. Cook until done. Adjust seasoning to taste. Serve hot.
Lemon Bake,"lemon, yogurt, zucchini, mustard","Combine lemon, yogurt, zucchini and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Tart,"bread, lemon, spinach, mushrooms, lettuce, caesar dressing","Combine bread, lemon, spinach, mushrooms, lettuce and caesar dressing. Cook until done. Adjust seasoning to taste. Serve hot."
Water Tart,"water, parmesan",Combine water and parmesan. Cook until done. Adjust seasoning to taste. Serve hot.
Balsamic Salad,"balsamic, mixed vegetables, lemon, cinnamon","Combine balsamic, mixed vegetables, lemon and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Bake,"pumpkin, cocoa powder, cucumber, carrots","Combine pumpkin, cocoa powder, cucumber and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Tart,"honey, broth",Combine honey and broth. Cook until done. Adjust seasoning to taste. Serve hot.
Salsa Pasta,"salsa, bananas, lime, tuna, caesar dressing, tomatoes","Combine salsa, bananas, lime, tuna, caesar dressing and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Chicken Bake,"chicken, cinnamon, tuna","Combine chicken, cinnamon and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Frittata,"basil, onion, mixed vegetables, dill, pasta","Combine basil, onion, mixed vegetables, dill and pasta. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Soup,"peas, curry powder, salt, dill","Combine peas, curry powder, salt and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Soup,"cocoa powder, mozzarella, sugar, pasta, peppers","Combine cocoa powder, mozzarella, sugar, pasta and peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Frittata,"rosemary, salsa, onions, chicken, coconut milk","Combine rosemary, salsa, onions, chicken and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Eggs Casserole,"eggs, beans, water","Combine eggs, beans and water. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Soup,"soy sauce, bun, salmon, cabbage","Combine soy sauce, bun, salmon and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Chicken Casserole,"chicken, flour",Combine chicken and flour. Cook until done. Adjust seasoning to taste. Serve hot.
Celery Delight,"celery, parsley, breadcrumbs, cucumber, peas, mayonnaise","Combine celery, parsley, breadcrumbs, cucumber, peas and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Pasta,"beans, mustard, rosemary, mozzarella, dill","Combine beans, mustard, rosemary, mozzarella and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Delight,"mozzarella, cucumber",Combine mozzarella and cucumber. Cook until done. Adjust seasoning to taste. Serve hot.
Broth Bake,"broth, yogurt, lettuce, celery","Combine broth, yogurt, lettuce and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Bake,"ginger, pie crust",Combine ginger and pie crust. Cook until done. Adjust seasoning to taste. Serve hot.
Peas Soup,"peas, tortillas, apples, bread, balsamic","Combine peas, tortillas, apples, bread and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Cheese Tart,"cheese, soy sauce, tortilla","Combine cheese, soy sauce and tortilla. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Delight,"butter, ginger, dill, lamb, cabbage","Combine butter, ginger, dill, lamb and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Casserole,"onions, vinegar, tuna","Combine onions, vinegar and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Butter Frittata,"butter, rice",Combine butter and rice. Cook until done. Adjust seasoning to taste. Serve hot.
Balsamic Soup,"balsamic, vegetables, saffron, sugar, dill, celery","Combine balsamic, vegetables, saffron, sugar, dill and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Pasta,"apples, tortillas, milk, dill, sugar","Combine apples, tortillas, milk, dill and sugar. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Skillet,"bread, salsa, mixed vegetables","Combine bread, salsa and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Casserole,"shrimp, rosemary, yogurt, soy sauce, balsamic, mussels","Combine shrimp, rosemary, yogurt, soy sauce, balsamic and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Stir-Fry,"vinegar, mussels",Combine vinegar and mussels. Cook until done. Adjust seasoning to taste. Serve hot.
Balsamic Salad,"balsamic, milk, bell peppers, mayonnaise","Combine balsamic, milk, bell peppers and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Bake,"tomato, lettuce",Combine tomato and lettuce. Cook until done. Adjust seasoning to taste. Serve hot.
Milk Stir-Fry,"milk, shrimp",Combine milk and shrimp. Cook until done. Adjust seasoning to taste. Serve hot.
Peppers Bake,"peppers, potatoes, vegetables","Combine peppers, potatoes and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Bell Peppers Soup,"bell peppers, pepper, bananas","Combine bell peppers, pepper and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Soup,"basil, coconut milk, lemons","Combine basil, coconut milk and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Soup,"mustard, shrimp, pie crust, eggs, bananas, cocoa powder","Combine mustard, shrimp, pie crust, eggs, bananas and cocoa powder. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Skillet,"beans, yogurt, lettuce, flour","Combine beans, yogurt, lettuce and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Stir-Fry,"parsley, olive oil, pasta, mussels","Combine parsley, olive oil, pasta and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Rice Soup,"rice, mozzarella, salmon","Combine rice, mozzarella and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Parmesan Pasta,"parmesan, bread",Combine parmesan and bread. Cook until done. Adjust seasoning to taste. Serve hot.
Cinnamon Stir-Fry,"cinnamon, shrimp, honey, lentils, bun, bread","Combine cinnamon, shrimp, honey, lentils, bun and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Bake,"lemon, peas, tortilla, parmesan","Combine lemon, peas, tortilla and parmesan. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Pasta,"mayonnaise, peas, basil, milk, tortillas","Combine mayonnaise, peas, basil, milk and tortillas. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Stir-Fry,"vinegar, beef, blueberries, olive oil","Combine vinegar, beef, blueberries and olive oil. Cook until done. Adjust seasoning to taste. Serve hot."
Chicken Bake,"chicken, banana, celery, tortilla, pasta, bananas","Combine chicken, banana, celery, tortilla, pasta and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Stir-Fry,"dill, water",Combine dill and water. Cook until done. Adjust seasoning to taste. Serve hot.
Mussels Bake,"mussels, strawberries, bananas, tortilla","Combine mussels, strawberries, bananas and tortilla. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Tart,"mozzarella, pasta, blueberries, sugar, carrots","Combine mozzarella, pasta, blueberries, sugar and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Salad,"mustard, lemons, yogurt, garlic","Combine mustard, lemons, yogurt and garlic. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Casserole,"banana, cinnamon",Combine banana and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot.
Mussels Salad,"mussels, spinach, cabbage, fish, vinegar, peas","Combine mussels, spinach, cabbage, fish, vinegar and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Casserole,"ginger, pumpkin, coconut milk, cabbage, carrots, blueberries","Combine ginger, pumpkin, coconut milk, cabbage, carrots and blueberries. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Stir-Fry,"pasta, breadcrumbs, lemons","Combine pasta, breadcrumbs and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Soup,"soy sauce, shrimp",Combine soy sauce and shrimp. Cook until done. Adjust seasoning to taste. Serve hot.
Chicken Tart,"chicken, vinegar, chocolate, mixed vegetables","Combine chicken, vinegar, chocolate and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Cabbage Salad,"cabbage, coconut milk, carrots","Combine cabbage, coconut milk and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Casserole,"banana, mixed vegetables, soy sauce, sugar, mozzarella","Combine banana, mixed vegetables, soy sauce, sugar and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Casserole,"caesar dressing, tortillas, breadcrumbs, bell peppers, lemon, mustard","Combine caesar dressing, tortillas, breadcrumbs, bell peppers, lemon and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Onion Skillet,"onion, zucchini, sugar, blueberries, caesar dressing, lemons","Combine onion, zucchini, sugar, blueberries, caesar dressing and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Frittata,"peppers, salmon, mayonnaise, caesar dressing, soy sauce","Combine peppers, salmon, mayonnaise, caesar dressing and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Delight,"caesar dressing, parsley, rosemary","Combine caesar dressing, parsley and rosemary. Cook until done. Adjust seasoning to taste. Serve hot."
